#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_000964.3	574690	575562	+	938098	ydeO	BSU05280	NP_388409.1	290	-	hypothetical protein BSU05280
chr	NC_000964.3	575712	576098	-	938100	ydeP	BSU05290	NP_388410.1	128	-	HxlR family transcriptional regulator
chr	NC_000964.3	576209	576802	+	939902	ydeQ	BSU05300	NP_388411.1	197	-	NAD(P)H oxidoreductase
chr	NC_000964.3	576946	578133	-	938096	ydeR	BSU05310	NP_388412.1	395	-	MFS transporter
chr	NC_000964.3	578337	578933	+	938083	ydeS	BSU05320	NP_388413.1	198	-	TetR family transcriptional regulator
chr	NC_000964.3	579047	579232	+	8303150	ydzO	BSU05329	YP_003097684.1	61	-	hypothetical protein BSU05329
chr	NC_000964.3	579541	579876	+	938089	aseR	BSU05330	NP_388414.1	111	-	ArsR family transcriptional regulator
chr	NC_000964.3	579889	581196	+	939905	ydfA	BSU05340	NP_388415.1	435	-	arsenic pump protein
chr	NC_000964.3	581694	582479	+	938079	ydfB	BSU05350	NP_388416.1	261	-	N-acetyltransferase YdfB
chr	NC_000964.3	582536	583456	-	938086	ydfC	BSU05360	NP_388417.1	306	-	transporter
chr	NC_000964.3	583589	585037	+	939903	ydfD	BSU05370	NP_388418.1	482	-	GntR family transcriptional regulator
chr	NC_000964.3	585155	585778	-	939898	ydfE	BSU05380	NP_388419.1	207	-	hypothetical protein BSU05380
chr	NC_000964.3	585868	586548	+	938084	ydfF	BSU05390	NP_388420.1	226	-	ArsR family transcriptional regulator
chr	NC_000964.3	586628	587071	-	938081	ydfG	BSU05400	NP_388421.1	147	-	hypothetical protein BSU05400
chr	NC_000964.3	587157	587336	-	8302941	ydzP	BSU05408	YP_003097685.1	59	-	membrane protein
chr	NC_000964.3	587333	587476	-	8303032	ydzQ	BSU05409	YP_003097686.1	47	-	hypothetical protein BSU05409
chr	NC_000964.3	587744	588967	+	938076	ydfH	BSU05410	NP_388422.1	407	-	sensor histidine kinase
chr	NC_000964.3	588960	589601	+	938080	ydfI	BSU05420	NP_388423.1	213	-	transcriptional regulator
chr	NC_000964.3	589717	591891	+	939901	ydfJ	BSU05430	NP_388424.1	724	-	membrane protein
chr	NC_000964.3	592303	593205	-	938069	nap	BSU05440	NP_388425.1	300	-	carboxylesterase nap
chr	NC_000964.3	593407	594096	-	939896	ydfK	BSU05450	NP_388426.1	229	-	membrane protein
chr	NC_000964.3	594186	594998	-	938078	ydfL	BSU05460	NP_388427.1	270	-	GntR family transcriptional regulator
chr	NC_000964.3	595109	596002	-	939900	ydfM	BSU05470	NP_388428.2	297	-	transporter
chr	NC_000964.3	596478	597098	+	939899	ydfN	BSU05480	NP_388429.1	206	-	NAD(P)H nitroreductase MhqN
chr	NC_000964.3	597114	598052	+	939894	ydfO	BSU05490	NP_388430.1	312	-	ring-cleaving dioxygenase MhqO
chr	NC_000964.3	598154	598543	+	938077	ydfP	BSU05500	NP_388431.1	129	-	oxidoreductase
chr	NC_000964.3	598729	599067	+	938062	ydfQ	BSU05510	NP_388432.1	112	-	thioredoxin
chr	NC_000964.3	599107	599343	-	938074	ydzH	BSU05520	NP_388433.1	78	-	hypothetical protein BSU05520
chr	NC_000964.3	599875	600105	-	8303211	ydzR	BSU05529	YP_003097687.1	76	-	spore germination protein
chr	NC_000964.3	600229	600906	-	939897	ydfR	BSU05530	NP_388434.1	225	-	hypothetical protein BSU05530
chr	NC_000964.3	601019	601726	+	939890	ydfS	BSU05540	NP_388435.1	235	-	hypothetical protein BSU05540
chr	NC_000964.3	601741	602172	-	938073	cotP	BSU05550	NP_388436.1	143	-	spore coat protein P
chr	NC_000964.3	602185	602427	-	938065	ydgA	BSU05560	NP_388437.1	80	-	hypothetical protein BSU05560
chr	NC_000964.3	602441	602713	-	938056	ydgB	BSU05570	NP_388438.1	90	-	hypothetical protein BSU05570
chr	NC_000964.3	603012	603599	+	938064	ydgC	BSU05580	NP_388439.1	195	-	TetR family transcriptional regulator
chr	NC_000964.3	603596	603940	+	939895	ydgD	BSU05590	NP_388440.1	114	-	hypothetical protein BSU05590
chr	NC_000964.3	604103	604576	+	939907	ydgE	BSU05600	NP_388441.1	157	-	N-acetyltransferase YdgE
chr	NC_000964.3	604736	606379	-	938053	vmlR	BSU05610	NP_388442.1	547	-	nucleotide-binding protein ExpZ
chr	NC_000964.3	606699	608075	-	938050	ydgF	BSU05620	NP_388443.1	458	-	transporter
chr	NC_000964.3	608246	608764	-	938057	dinB	BSU05630	NP_388444.1	172	-	protein DinB
chr	NC_000964.3	608933	609391	+	939880	ydgG	BSU05640	NP_388445.1	152	-	MarR family transcriptional regulator
chr	NC_000964.3	609388	612045	+	938043	ydgH	BSU05650	NP_388446.1	885	-	membrane protein
chr	NC_000964.3	612191	612820	-	938001	ydgI	BSU05660	NP_388447.1	209	-	NAD(P)H nitroreductase YdgI
chr	NC_000964.3	612836	613330	-	938036	ydgJ	BSU05670	NP_388448.1	164	-	MarR family transcriptional regulator
chr	NC_000964.3	613641	614849	+	938060	ydgK	BSU05680	NP_388449.1	402	-	MFS transporter
chr	NC_000964.3	614885	615622	-	939893	ydhB	BSU05690	NP_388450.2	245	-	hypothetical protein BSU05690
chr	NC_000964.3	615871	616545	+	938042	ydhC	BSU05700	NP_388451.1	224	-	GntR family transcriptional regulator
chr	NC_000964.3	616672	617934	+	939885	ydhD	BSU05710	NP_388452.2	420	-	sporulation protein
chr	NC_000964.3	618095	619282	+	939868	ydhE	BSU05720	NP_388453.2	395	-	UDP-glucosyltransferase YdhE
chr	NC_000964.3	619321	620031	-	938019	ydhF	BSU05730	NP_388454.1	236	-	hypothetical protein BSU05730
chr	NC_000964.3	620097	621485	-	938004	phoB	BSU05740	NP_388455.2	462	-	alkaline phosphatase 3
chr	NC_000964.3	621847	622218	+	938031	ydhG	BSU05750	NP_388456.1	123	-	hypothetical protein BSU05750
chr	NC_000964.3	622293	622790	-	939877	ydhH	BSU05760	NP_388457.1	165	-	hypothetical protein BSU05760
chr	NC_000964.3	622808	623290	-	939866	ydhI	BSU05770	NP_388458.1	160	-	hypothetical protein BSU05770
chr	NC_000964.3	623373	624350	+	938014	ydhJ	BSU05780	NP_388459.1	325	-	hypothetical protein BSU05780
chr	NC_000964.3	624492	625109	+	939873	ydhK	BSU05790	NP_388460.1	205	-	hypothetical protein BSU05790
chr	NC_000964.3	625125	626291	-	937996	pbuE	BSU05800	NP_388461.2	388	-	purine efflux pump PbuE
chr	NC_000964.3	626622	626933	+	938018	gmuB	BSU05810	NP_388462.1	103	-	PTS system oligo-beta-mannoside transporter subunit IIB
chr	NC_000964.3	626933	627265	+	938039	gmuA	BSU05820	NP_388463.2	110	-	PTS system oligo-beta-mannoside transporter subunit IIA
chr	NC_000964.3	627284	628612	+	939882	gmuC	BSU05830	NP_388464.1	442	-	PTS system oligo-beta-mannoside transporter subunit IIC
chr	NC_000964.3	628630	630027	+	939872	gmuD	BSU05840	NP_388465.1	465	-	6-phospho-beta-glucosidase GmuD
chr	NC_000964.3	630170	630883	+	939879	gmuR	BSU05850	NP_388466.1	237	-	GntR family transcriptional regulator
chr	NC_000964.3	630912	631811	+	938016	gmuE	BSU05860	NP_388467.1	299	-	fructokinase
chr	NC_000964.3	631808	632755	+	938028	gmuF	BSU05870	NP_388468.1	315	-	mannose-6-phosphate isomerase GmuF
chr	NC_000964.3	632774	633862	+	938034	gmuG	BSU05880	NP_388469.2	362	-	mannan endo-1,4-beta-mannosidase
chr	NC_000964.3	640662	641639	+	939867	thiL	BSU05900	NP_388471.1	325	-	thiamine-monophosphate kinase
chr	NC_000964.3	641654	642130	+	938047	ydiB	BSU05910	NP_388472.1	158	-	UPF0079 ATP-binding protein YdiB
chr	NC_000964.3	642111	642800	+	939874	ydiC	BSU05920	NP_388473.1	229	-	hypothetical protein BSU05920
chr	NC_000964.3	642810	643265	+	937997	rimI	BSU05930	NP_388474.1	151	-	ribosomal-protein-alanine acetyltransferase
chr	NC_000964.3	643258	644298	+	938020	gcp	BSU05940	NP_388475.1	346	-	tRNA threonylcarbamoyladenosine biosynthesis protein Gcp
chr	NC_000964.3	644528	646456	-	938013	ydiF	BSU05950	NP_388476.2	642	-	ABC transporter ATP-binding protein
chr	NC_000964.3	646582	647094	+	939875	moaC	BSU05960	NP_388477.1	170	-	cyclic pyranopterin monophosphate synthase accessory protein
chr	NC_000964.3	647091	647738	+	939871	ydiH	BSU05970	NP_388478.1	215	-	redox-sensing transcriptional repressor rex
chr	NC_000964.3	647760	647933	+	939878	tatAY	BSU05980	NP_388479.1	57	-	Sec-independent protein translocase protein TatAy
chr	NC_000964.3	647940	648704	+	938010	tatCY	BSU05990	NP_388480.1	254	-	Sec-independent protein translocase protein TatCy
chr	NC_000964.3	648742	648933	-	939870	ydiK	BSU06000	NP_388481.1	63	-	lipoprotein
chr	NC_000964.3	648930	649664	-	938033	ydiL	BSU06010	NP_388482.1	244	-	membrane peptidase YdiL
chr	NC_000964.3	649903	650187	+	938006	groES	BSU06020	NP_388483.2	94	-	10 kDa chaperonin
chr	NC_000964.3	650234	651868	+	938045	groEL	BSU06030	NP_388484.1	544	-	60 kDa chaperonin
chr	NC_000964.3	653432	653812	+	939886	ydiM	BSU06040	NP_388485.1	126	-	hypothetical protein BSU06040
chr	NC_000964.3	654071	654343	+	8302904	ydzU	BSU06048	YP_003097688.1	90	-	hypothetical protein BSU06048
chr	NC_000964.3	655223	656506	+	939892	ydiO	BSU06060	NP_388487.1	427	-	BsuMI modification methylase subunit YdiO
chr	NC_000964.3	656528	657697	+	939876	ydiP	BSU06070	NP_388488.1	389	-	BsuMI modification methylase subunit YdiP
chr	NC_000964.3	659623	660564	+	938002	ydiR	BSU06090	NP_388490.1	313	-	type-2 restriction enzyme BsuMI component YdiR
chr	NC_000964.3	660596	661627	+	938023	ydiS	BSU06100	NP_388491.1	343	-	type-2 restriction enzyme BsuMI component YdiS
chr	NC_000964.3	661630	663027	+	939884	ydjA	BSU06110	NP_388492.1	465	-	type-2 restriction enzyme BsuMI component YdjA
chr	NC_000964.3	663601	663936	+	935917	ydjB	BSU06120	NP_388493.1	111	-	hypothetical protein BSU06120
chr	NC_000964.3	664319	664669	+	936012	ydjC	BSU06130	NP_388494.1	116	-	hypothetical protein BSU06130
chr	NC_000964.3	664775	667264	-	938026	gutR	BSU06140	NP_388495.1	829	-	transcription activator GutR
chr	NC_000964.3	667466	668527	+	939495	gutB	BSU06150	NP_388496.1	353	-	sorbitol dehydrogenase
chr	NC_000964.3	668601	669992	+	936004	gutP	BSU06160	NP_388497.1	463	-	glucitol transport protein GutA
chr	NC_000964.3	670087	671049	+	939494	ydjE	BSU06170	NP_388498.1	320	-	sugar kinase YdjE
chr	NC_000964.3	671245	671928	+	936013	pspA	BSU06180	NP_388499.1	227	-	phage shock protein A homolog
chr	NC_000964.3	671994	673019	+	939489	ydjG	BSU06190	NP_388500.1	341	-	hypothetical protein BSU06190
chr	NC_000964.3	673019	673783	+	936015	ydjH	BSU06200	NP_388501.1	254	-	hypothetical protein BSU06200
chr	NC_000964.3	673814	674785	+	939493	ydjI	BSU06210	NP_388502.1	323	-	hypothetical protein BSU06210
chr	NC_000964.3	674832	675857	-	936027	ydjJ	BSU06220	NP_388503.1	341	-	membrane protein
chr	NC_000964.3	676442	677863	+	936014	iolT	BSU06230	NP_388504.1	473	-	major myo-inositol transporter IolT
chr	NC_000964.3	677911	678951	-	939490	bdhA	BSU06240	NP_388505.1	346	-	(r,r)-butanediol dehydrogenase
chr	NC_000964.3	679390	679761	+	936017	ydjM	BSU06250	NP_388506.1	123	-	hypothetical protein BSU06250
chr	NC_000964.3	679827	680873	+	939488	ydjN	BSU06260	NP_388507.1	348	-	hypothetical protein BSU06260
chr	NC_000964.3	680907	681065	-	8303125	ydzJ	BSU06269	YP_003097689.1	52	-	membrane protein
chr	NC_000964.3	681255	681464	-	936021	ydjO	BSU06270	NP_388508.1	69	-	hypothetical protein BSU06270
chr	NC_000964.3	681547	682362	-	936035	ydjP	BSU06280	NP_388509.1	271	-	AB hydrolase superfamily protein YdjP
chr	NC_000964.3	682375	683364	-	936018	yeaA	BSU06290	NP_388510.1	329	-	hypothetical protein BSU06290
chr	NC_000964.3	683462	685003	-	936023	cotA	BSU06300	NP_388511.1	513	-	spore coat protein A
chr	NC_000964.3	685155	686564	-	939485	gabP	BSU06310	NP_388512.2	469	-	GABA permease
chr	NC_000964.3	686602	686889	-	8303160	ydzX	BSU06319	YP_003097690.1	95	-	hypothetical protein BSU06319
chr	NC_000964.3	686962	687834	+	936032	yeaB	BSU06320	NP_388513.1	290	-	transporter
chr	NC_000964.3	688184	689146	+	939484	yeaC	BSU06330	NP_388514.2	320	-	hypothetical protein BSU06330
chr	NC_000964.3	689146	690342	+	939486	yeaD	BSU06340	NP_388515.2	398	-	hypothetical protein BSU06340
chr	NC_000964.3	690364	692577	+	936029	yebA	BSU06350	NP_388516.2	737	-	hypothetical protein BSU06350
chr	NC_000964.3	692740	694281	+	936028	guaA	BSU06360	NP_388517.2	513	-	GMP synthase
chr	NC_000964.3	694662	695984	+	936043	pbuG	BSU06370	NP_388518.1	440	-	guanine/hypoxanthine permease PbuG
chr	NC_000964.3	696195	696998	+	939478	yebC	BSU06380	NP_388519.2	267	-	hypothetical protein BSU06380
chr	NC_000964.3	697157	697324	+	936033	yebD	BSU06390	NP_388520.3	55	-	hypothetical protein BSU06390
chr	NC_000964.3	697538	698092	+	939480	yebE	BSU06400	NP_388521.2	184	-	hypothetical protein BSU06400
chr	NC_000964.3	698092	698289	+	939351	yebG	BSU06410	NP_388523.1	65	-	hypothetical protein BSU06410
chr	NC_000964.3	698612	699100	+	939481	purE	BSU06420	NP_388524.1	162	-	N5-carboxyaminoimidazole ribonucleotide mutase
chr	NC_000964.3	699093	700235	+	936039	purK	BSU06430	NP_388525.2	380	-	N5-carboxyaminoimidazole ribonucleotide synthase
chr	NC_000964.3	700232	701527	+	936048	purB	BSU06440	NP_388526.1	431	-	adenylosuccinate lyase
chr	NC_000964.3	701601	702326	+	939389	purC	BSU06450	NP_388527.1	241	-	phosphoribosylaminoimidazole-succinocarboxamide synthase
chr	NC_000964.3	702319	702573	+	936041	purS	BSU06460	NP_388528.1	84	-	hypothetical protein BSU06460
chr	NC_000964.3	702570	703253	+	938760	purQ	BSU06470	NP_388529.1	227	-	phosphoribosylformylglycinamidine synthase
chr	NC_000964.3	703237	705465	+	939233	purL	BSU06480	NP_388530.2	742	-	phosphoribosylformylglycinamidine synthase
chr	NC_000964.3	705441	706871	+	936046	purF	BSU06490	NP_388531.2	476	-	amidophosphoribosyltransferase
chr	NC_000964.3	706973	708013	+	936044	purM	BSU06500	NP_388532.2	346	-	phosphoribosylformylglycinamidine cyclo-ligase
chr	NC_000964.3	708010	708597	+	936045	purN	BSU06510	NP_388533.2	195	-	phosphoribosylglycinamide formyltransferase
chr	NC_000964.3	708594	710132	+	936053	purH	BSU06520	NP_388534.2	512	-	bifunctional purine biosynthesis protein PurH
chr	NC_000964.3	710148	711416	+	938741	purD	BSU06530	NP_388535.1	422	-	phosphoribosylamine--glycine ligase
chr	NC_000964.3	711456	711875	-	936047	yezC	BSU06540	NP_388536.2	139	-	AsnC family transcriptional regulator
chr	NC_000964.3	712019	713293	+	936051	yecA	BSU06550	NP_388537.2	424	-	amino acid permease
chr	NC_000964.3	713308	713535	-	8302929	yezF	BSU06559	YP_003097691.1	75	-	membrane protein
chr	NC_000964.3	713664	715406	+	939337	yerA	BSU06560	NP_388538.1	580	-	adenine deaminase YerA
chr	NC_000964.3	715433	716428	+	936050	yerB	BSU06570	NP_388539.1	331	-	lipoprotein
chr	NC_000964.3	716431	716745	+	936049	yerC	BSU06580	NP_388540.1	104	-	hypothetical protein BSU06580
chr	NC_000964.3	716780	718357	-	936058	yerD	BSU06590	NP_388541.1	525	-	glutamate synthase large subunit-like protein YerD
chr	NC_000964.3	718622	719308	+	936052	pcrB	BSU06600	NP_388542.1	228	-	heptaprenylglyceryl phosphate synthase
chr	NC_000964.3	719370	721589	+	938747	pcrA	BSU06610	NP_388543.1	739	-	ATP-dependent DNA helicase PcrA
chr	NC_000964.3	721613	723619	+	936056	ligA	BSU06620	NP_388544.1	668	-	DNA ligase
chr	NC_000964.3	723635	724825	+	938744	yerH	BSU06630	NP_388545.1	396	-	lipoprotein
chr	NC_000964.3	724987	725997	+	936055	yerI	BSU06640	NP_388546.1	336	-	hypothetical protein BSU06640
chr	NC_000964.3	726035	726733	-	936054	sapB	BSU06650	NP_388547.1	232	-	peptide ABC transporter permease SapB
chr	NC_000964.3	726840	728318	-	939439	opuE	BSU06660	NP_388548.1	492	-	osmoregulated proline transporter
chr	NC_000964.3	728732	729022	+	936063	gatC	BSU06670	NP_388549.1	96	-	glutamyl-tRNA(Gln) amidotransferase subunit C
chr	NC_000964.3	729038	730495	+	938748	gatA	BSU06680	NP_388550.1	485	-	glutamyl-tRNA(Gln) amidotransferase subunit A
chr	NC_000964.3	730509	731939	+	936057	gatB	BSU06690	NP_388551.2	476	-	aspartyl/glutamyl-tRNA amidotransferase subunit B
chr	NC_000964.3	731954	732823	-	939889	yerO	BSU06700	NP_388552.1	289	-	TetR family transcriptional regulator
chr	NC_000964.3	732916	736113	+	938055	swrC	BSU06710	NP_388553.1	1065	-	surfactin self-resistance transporter
chr	NC_000964.3	736436	737347	+	936061	yerQ	BSU06720	NP_388554.1	303	-	diacylglycerol kinase
chr	NC_000964.3	737603	738982	+	936060	yefA	BSU06730	NP_388555.1	459	-	23S rRNA (uracil-C(5))-methyltransferase RlmCD
chr	NC_000964.3	738995	739897	-	938745	yefB	BSU06740	NP_388556.1	300	-	hypothetical protein BSU06740
chr	NC_000964.3	739878	740213	+	938743	yefC	BSU06750	NP_388557.2	111	-	resolvase homolog YefC
chr	NC_000964.3	740288	742927	+	936059	yeeA	BSU06760	NP_388558.1	879	-	DNA methyltransferase YeeA
chr	NC_000964.3	742939	744738	+	936068	yeeB	BSU06770	NP_388559.2	599	-	ATP-dependent helicase YeeB
chr	NC_000964.3	744851	745999	+	936062	yeeC	BSU06780	NP_388560.2	382	-	hypothetical protein BSU06780
chr	NC_000964.3	746261	746566	-	938755	yeeD	BSU06790	NP_388561.1	101	-	hypothetical protein BSU06790
chr	NC_000964.3	746633	746839	-	938751	yezA	BSU06800	NP_388562.1	68	-	hypothetical protein BSU06800
chr	NC_000964.3	747079	747534	-	8303066	yezG	BSU06811	YP_003097692.1	151	-	hypothetical protein BSU06811
chr	NC_000964.3	747554	749563	-	938753	yeeF	BSU06812	NP_388563.2	669	-	hypothetical protein BSU06812
chr	NC_000964.3	749775	750797	+	938041	yeeG	BSU06820	NP_388564.2	340	-	hypothetical protein BSU06820
chr	NC_000964.3	750959	752089	+	936065	rapH	BSU06830	NP_388565.2	376	-	response regulator aspartate phosphatase H
chr	NC_000964.3	752079	752252	+	8303115	phrH	BSU06839	YP_003097693.1	57	-	inhibitor of regulatory cascade
chr	NC_000964.3	752412	753131	+	938749	yeeI	BSU06840	NP_388566.3	239	-	transcriptional regulator
chr	NC_000964.3	753265	753702	+	936073	yeeK	BSU06850	NP_388567.2	145	-	spore coat protein YeeK
chr	NC_000964.3	753817	754401	+	2914263	yezE	BSU06860	YP_054572.1	194	-	TetR family transcriptional regulator
chr	NC_000964.3	754480	754923	+	936064	yesE	BSU06870	NP_388568.1	147	-	hypothetical protein BSU06870
chr	NC_000964.3	754920	755780	+	936067	yesF	BSU06880	NP_388569.1	286	-	oxidoreductase
chr	NC_000964.3	755907	756155	+	938758	cotJA	BSU06890	NP_388570.1	82	-	spore coat associated protein CotJA
chr	NC_000964.3	756139	756402	+	936071	cotJB	BSU06900	NP_388571.2	87	-	spore coat protein CotJB
chr	NC_000964.3	756417	756986	+	938762	cotJC	BSU06910	NP_388572.1	189	-	spore coat peptide assembly protein CotJC
chr	NC_000964.3	757111	757653	+	936070	yesJ	BSU06920	NP_388573.1	180	-	N-acetyltransferase YesJ
chr	NC_000964.3	757676	757978	+	936069	yesK	BSU06930	NP_388574.2	100	-	hypothetical protein BSU06930
chr	NC_000964.3	758093	758722	+	938754	yesL	BSU06940	NP_388575.1	209	-	hypothetical protein BSU06940
chr	NC_000964.3	758719	760452	+	936078	yesM	BSU06950	NP_388576.1	577	-	sensor histidine kinase
chr	NC_000964.3	760452	761558	+	938764	yesN	BSU06960	NP_388577.1	368	-	transcriptional regulator
chr	NC_000964.3	761662	762945	+	936072	yesO	BSU06970	NP_388578.2	427	-	ABC transporter substrate-binding protein
chr	NC_000964.3	762942	763871	+	936076	yesP	BSU06980	NP_388579.1	309	-	ABC transporter permease
chr	NC_000964.3	763875	764765	+	938765	yesQ	BSU06990	NP_388580.1	296	-	ABC transporter permease
chr	NC_000964.3	764781	765815	+	938759	yesR	BSU07000	NP_388581.1	344	-	rhamnogalacturonyl hydrolase
chr	NC_000964.3	765838	768123	+	936075	yesS	BSU07010	NP_388582.1	761	-	AraC family transcriptional regulator
chr	NC_000964.3	768137	768835	+	936074	rhgT	BSU07020	NP_388583.1	232	-	rhamnogalacturonan acetylesterase RhgT
chr	NC_000964.3	768828	769490	+	936083	yesU	BSU07030	NP_388584.1	220	-	hypothetical protein BSU07030
chr	NC_000964.3	769487	770113	+	936077	yesV	BSU07040	NP_388585.1	208	-	hypothetical protein BSU07040
chr	NC_000964.3	770234	772096	+	938769	yesW	BSU07050	NP_388586.1	620	-	rhamnogalacturonan endolyase YesW
chr	NC_000964.3	772142	773980	+	936081	yesX	BSU07060	NP_388587.1	612	-	rhamnogalacturonan exolyase YesX
chr	NC_000964.3	774138	774791	+	938772	yesY	BSU07070	NP_388588.1	217	-	rhamnogalacturonan acetylesterase YesY
chr	NC_000964.3	774799	776790	+	936080	yesZ	BSU07080	NP_388589.1	663	-	beta-galactosidase YesZ
chr	NC_000964.3	776834	779407	+	938776	yetA	BSU07090	NP_388590.2	857	-	hypothetical protein BSU07090
chr	NC_000964.3	779529	781037	+	936079	lplA	BSU07100	NP_388591.1	502	-	lipoprotein
chr	NC_000964.3	781092	782048	+	936088	lplB	BSU07110	NP_388592.1	318	-	ABC transporter permease LplB
chr	NC_000964.3	782062	782949	+	938767	lplC	BSU07120	NP_388593.1	295	-	ABC transporter permease LplC
chr	NC_000964.3	782958	784298	+	938770	lplD	BSU07130	NP_388594.1	446	-	alpha-galacturonidase
chr	NC_000964.3	784381	785076	+	936086	yetF	BSU07140	NP_388595.1	231	-	hypothetical protein BSU07140
chr	NC_000964.3	785113	785490	-	936085	yetG	BSU07150	NP_388596.1	125	-	monooxygenase
chr	NC_000964.3	785543	785905	-	938777	yetH	BSU07160	NP_388597.1	120	-	hypothetical protein BSU07160
chr	NC_000964.3	787715	787882	+	938773	yezD	BSU07190	NP_388600.1	55	-	hypothetical protein BSU07190
chr	NC_000964.3	787992	788636	+	938782	yetJ	BSU07200	NP_388601.1	214	-	hypothetical protein BSU07200
chr	NC_000964.3	788636	789628	+	936091	yetK	BSU07210	NP_388602.1	330	-	transporter
chr	NC_000964.3	789652	790155	-	938778	yetL	BSU07220	NP_388603.1	167	-	MarR family transcriptional regulator
chr	NC_000964.3	790318	791427	+	936090	yetM	BSU07230	NP_388604.1	369	-	oxidoreductase
chr	NC_000964.3	791462	792532	-	936089	yetN	BSU07240	NP_388605.1	356	-	hypothetical protein BSU07240
chr	NC_000964.3	792682	795867	+	938784	yetO	BSU07250	NP_388606.1	1061	-	bifunctional P-450/NADPH-P450 reductase 1
chr	NC_000964.3	796314	798233	+	936099	ltaSA	BSU07260	NP_388607.2	639	-	lipoteichoic acid synthase
chr	NC_000964.3	798469	799233	+	938779	yfnH	BSU07270	NP_388608.1	254	-	glucose-1-phosphate cytidylyltransferase
chr	NC_000964.3	799303	800208	+	938783	yfnG	BSU07280	NP_388609.1	301	-	CDP-sugar-dehydratase/epimerase
chr	NC_000964.3	800232	801143	+	936097	yfnF	BSU07290	NP_388610.1	303	-	hypothetical protein BSU07290
chr	NC_000964.3	801172	802350	+	938781	yfnE	BSU07300	NP_388611.1	392	-	glycosyltransferase YfnE
chr	NC_000964.3	802351	803286	+	936096	yfnD	BSU07310	NP_388612.1	311	-	hypothetical protein BSU07310
chr	NC_000964.3	803317	804546	-	936104	yfnC	BSU07320	NP_388613.1	409	-	MFS transporter
chr	NC_000964.3	804657	805364	-	936095	yfnB	BSU07330	NP_388614.1	235	-	HAD-hydrolase YfnB
chr	NC_000964.3	805456	806841	-	936098	yfnA	BSU07340	NP_388615.1	461	-	amino acid permease YfnA
chr	NC_000964.3	807091	808548	+	938788	yfmT	BSU07350	NP_388616.1	485	-	aldehyde dehydrogenase YfmT
chr	NC_000964.3	808562	809422	+	936102	yfmS	BSU07360	NP_388617.1	286	-	sensory transducer protein YfmS
chr	NC_000964.3	809557	811446	+	936100	yfmR	BSU07370	NP_388618.1	629	-	ABC transporter ATP-binding protein
chr	NC_000964.3	811569	812015	+	938786	yfmQ	BSU07380	NP_388619.1	148	-	hypothetical protein BSU07380
chr	NC_000964.3	812140	812562	+	936101	yfmP	BSU07390	NP_388620.1	140	-	MerR family transcriptional regulator
chr	NC_000964.3	812628	813818	+	936111	yfmO	BSU07400	NP_388621.1	396	-	MFS transporter
chr	NC_000964.3	814109	814264	+	938796	yfmN	BSU07410	NP_388622.1	51	-	hypothetical protein BSU07410
chr	NC_000964.3	814384	815940	-	936103	yfmM	BSU07420	NP_388623.2	518	-	ABC transporter ATP-binding protein
chr	NC_000964.3	816113	817243	+	938792	yfmL	BSU07430	NP_388624.1	376	-	ATP-dependent RNA helicase YfmL
chr	NC_000964.3	817311	817757	+	936108	yfmK	BSU07440	NP_388625.1	148	-	N-acetyltransferase YfmK
chr	NC_000964.3	817810	818829	-	936106	yfmJ	BSU07450	NP_388626.1	339	-	NADP-dependent oxidoreductase YfmJ
chr	NC_000964.3	819311	820531	-	936105	yfmI	BSU07460	NP_388627.1	406	-	MFS transporter
chr	NC_000964.3	820867	822330	+	938798	yfmG	BSU07480	NP_388629.1	487	-	hypothetical protein BSU07480
chr	NC_000964.3	822903	823703	-	936117	yfmF	BSU07490	NP_388630.1	266	-	Fe(3+)-citrate import ATP-binding protein YfmF
chr	NC_000964.3	823716	824717	-	939692	yfmE	BSU07500	NP_388631.1	333	-	Fe(3+)-citrate import system permease protein YfmE
chr	NC_000964.3	824714	825715	-	936110	yfmD	BSU07510	NP_388632.1	333	-	Fe(3+)-citrate import system permease protein YfmD
chr	NC_000964.3	825787	826734	-	936114	yfmC	BSU07520	NP_388633.1	315	-	Fe(3+)-citrate-binding protein YfmC
chr	NC_000964.3	826843	827211	-	938795	yfmB	BSU07530	NP_388634.1	122	-	hypothetical protein BSU07530
chr	NC_000964.3	827252	827419	+	938800	yfmA	BSU07540	NP_388635.1	55	-	hypothetical protein BSU07540
chr	NC_000964.3	827455	827802	+	938794	yflT	BSU07550	NP_388636.1	115	-	general stress protein 17M
chr	NC_000964.3	827993	829255	+	936113	pel	BSU07560	NP_388637.1	420	-	pectate lyase
chr	NC_000964.3	829382	830818	+	936122	yflS	BSU07570	NP_388638.1	478	-	malate transporter YflS
chr	NC_000964.3	830945	832573	+	939687	citS	BSU07580	NP_388639.1	542	-	sensor protein CitS
chr	NC_000964.3	832545	833225	+	938806	citT	BSU07590	NP_388640.1	226	-	transcriptional regulatory protein CitT
chr	NC_000964.3	833228	834187	+	936116	yflP	BSU07600	NP_388641.2	319	-	hypothetical protein BSU07600
chr	NC_000964.3	834383	835684	+	938801	citM	BSU07610	NP_388642.1	433	-	Mg(2+)/citrate complex secondary transporter
